2022-02-11 15:39:27,005 INFO    MainThread:6404 [wandb_init.py:_pause_backend():299] pausing backend
2022-02-11 15:39:27,005 INFO    MainThread:6404 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-02-11 15:39:27,439 INFO    MainThread:6404 [wandb_init.py:_resume_backend():308] resuming backend
2022-02-11 15:39:27,444 INFO    MainThread:6404 [wandb_init.py:_pause_backend():299] pausing backend
2022-02-11 15:39:27,445 INFO    MainThread:6404 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-02-11 15:39:27,982 INFO    MainThread:6404 [wandb_init.py:_resume_backend():308] resuming backend
2022-02-11 15:39:27,987 INFO    MainThread:6404 [wandb_init.py:_pause_backend():299] pausing backend
2022-02-11 15:39:27,987 INFO    MainThread:6404 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-02-11 15:39:28,987 INFO    MainThread:6404 [wandb_init.py:_resume_backend():308] resuming backend
2022-02-11 15:39:29,020 INFO    MainThread:6404 [wandb_init.py:_pause_backend():299] pausing backend
2022-02-11 15:39:29,020 INFO    MainThread:6404 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-02-11 15:41:31,434 INFO    MainThread:6404 [wandb_init.py:_resume_backend():308] resuming backend
2022-02-11 15:41:31,437 INFO    MainThread:6404 [wandb_init.py:_pause_backend():299] pausing backend
2022-02-11 15:41:31,437 INFO    MainThread:6404 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-02-11 15:41:51,503 INFO    MainThread:6404 [wandb_init.py:_resume_backend():308] resuming backend
2022-02-11 15:41:51,503 INFO    MainThread:6404 [wandb_init.py:_pause_backend():299] pausing backend
2022-02-11 15:41:51,503 INFO    MainThread:6404 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-02-11 15:42:12,870 INFO    MainThread:6404 [wandb_init.py:_resume_backend():308] resuming backend
2022-02-11 15:42:12,881 INFO    MainThread:6404 [wandb_init.py:_pause_backend():299] pausing backend
2022-02-11 15:42:12,882 INFO    MainThread:6404 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-02-11 15:43:00,803 INFO    MainThread:6404 [wandb_init.py:_resume_backend():308] resuming backend
2022-02-11 15:43:00,822 INFO    MainThread:6404 [wandb_init.py:_pause_backend():299] pausing backend
2022-02-11 15:43:00,823 INFO    MainThread:6404 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-02-11 15:43:37,641 INFO    MainThread:6404 [wandb_init.py:_resume_backend():308] resuming backend
2022-02-11 15:43:37,642 INFO    MainThread:6404 [wandb_init.py:_pause_backend():299] pausing backend
